Chain: polkadot; replacing 13 bootnode(s) with /ip4/127.0.0.1/tcp/30333/ws/p2p/12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/30009, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[WARN] [sync-service-polkadot] GrandPa warp sync idle at block #0 (0x0x91b1…90c3)
[DEBUG] [network] discovery-find-node-started; chain=polkadot, request_target=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m, requested_peer_id=12D3KooWFj76DUAnLA9pnDhZ7izqNs9jKGDaJF91yY7ZaX5LH7Td
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMv93oLFzm8yeYr4wVp94AW4XFT3XtjHrPrZvWm9aMeZi, addr=/ip4/52.195.100.47/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/40778, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/47014, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/46922, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/35702, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/47062, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/60908, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/36790, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/40624, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/49880, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/45018/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/44180/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/59626/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/55234/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/35814/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/60340/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/54304/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/45674/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/42872/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/38174/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/52386/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/44462/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/37202/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/46974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/48044/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/60402/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/20121, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/53430/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/30334, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/53077, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/53270, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/50934, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/41036, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/44754, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/59592, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/48410, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/42364, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/40484, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/43612, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/91.134.9.221/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/2001:41d0:33d:dd00::/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/::1/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/127.0.0.1/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/fd7a:115c:a1e0::a401:8c3f/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/100.65.140.61/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/53472/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/38508/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/43092/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/54856/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/38606/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/59596/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/39556/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/44326/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/33898/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/33528/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/41694, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/59408, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/47610, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/54156, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/59498, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/38638, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip6/2a01:4f8:173:1355::2/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/58302, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/37292, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWSEVoo2V4Pj62cgHksw7L81E9CS9WSwGYaooHQescmsi8, addr=/ip4/138.201.203.118/tcp/36166, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/49580/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/57620/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/53486/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/60638/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/30009/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/39634/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/53398/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/50398/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/32872/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWMuqcfpZHQa4WekQButAGAEYYHpLcbPfnFeSv66UWk1F2, addr=/ip4/87.117.123.115/tcp/36732/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/53924/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/60558, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/35092/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/dns/d3tlhrp4qons73cvi3dg.bdnodes.net/tcp/30363, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/50690/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/48254/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/44128/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/54095, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/63290, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
